Transaction ID,Datetime,Merchant,Category,Amount,Description,Balance
T0000066,2022-01-14 02:33:00,Starbucks,Tech Gadgets,730.52,Debit at Starbucks for Tech Gadgets,14497.96
T0000067,2022-01-14 06:42:00,UberEats,Food Delivery,804.64,Debit at UberEats for Food Delivery,13693.32
T0000069,2022-01-14 11:10:00,Apple Store,Beauty Products,477.48,Debit at Apple Store for Beauty Products,13367.38
T0000071,2022-01-15 09:33:00,H&M,Food Delivery,292.68,Debit at H&M for Food Delivery,13951.3
T0000072,2022-01-15 11:41:00,Amazon,Clothing,851.46,Debit at Amazon for Clothing,13099.84
T0000073,2022-01-15 12:39:00,Amazon,Social Media Purchases,785.23,Debit at Amazon for Social Media Purchases,12314.61
T0000076,2022-01-16 07:12:00,Netflix,Tech Gadgets,198.15,Debit at Netflix for Tech Gadgets,13504.61
T0000083,2022-01-17 19:39:00,Netflix,Social Media Purchases,959.44,Debit at Netflix for Social Media Purchases,16363.21
T0000087,2022-01-18 20:16:00,PlayStation Store,Food Delivery,523.56,Debit at PlayStation Store for Food Delivery,16595.92
T0000090,2022-01-19 09:44:00,H&M,Clothing,446.63,Debit at H&M for Clothing,17585.33
T0000091,2022-01-19 14:13:00,PlayStation Store,Gaming,889.88,Debit at PlayStation Store for Gaming,16695.45
T0000094,2022-01-20 11:04:00,Sephora,Gaming,658.19,Debit at Sephora for Gaming,17255.08
T0000096,2022-01-20 13:49:00,PlayStation Store,Beauty Products,390.34,Debit at PlayStation Store for Beauty Products,17799.37
T0000099,2022-01-21 00:03:00,PlayStation Store,Streaming Subscription,777.43,Debit at PlayStation Store for Streaming Subscription,18169.34
T0000102,2022-01-22 01:49:00,TikTok Shop,Food Delivery,617.38,Debit at TikTok Shop for Food Delivery,19127.6
T0000104,2022-01-22 06:06:00,Netflix,Coffee,655.43,Debit at Netflix for Coffee,18703.91
T0000105,2022-01-22 10:21:00,Apple Store,Clothing,38.89,Debit at Apple Store for Clothing,18665.02
T0000106,2022-01-22 10:42:00,H&M,Coffee,731.26,Debit at H&M for Coffee,17933.76
T0000107,2022-01-22 13:25:00,Starbucks,Coffee,287.98,Debit at Starbucks for Coffee,17645.78
T0000109,2022-01-22 15:12:00,Netflix,Streaming Subscription,947.07,Debit at Netflix for Streaming Subscription,17467.91
T0000112,2022-01-23 00:54:00,Netflix,Beauty Products,492.86,Debit at Netflix for Beauty Products,17201.74
T0000113,2022-01-23 00:58:00,H&M,Tech Gadgets,879.54,Debit at H&M for Tech Gadgets,16322.2
T0000115,2022-01-23 02:40:00,Starbucks,Streaming Subscription,817.82,Debit at Starbucks for Streaming Subscription,15759.35
T0000117,2022-01-23 06:25:00,Amazon,Coffee,37.79,Debit at Amazon for Coffee,16668.79
T0000118,2022-01-23 09:04:00,Apple Store,Beauty Products,582.29,Debit at Apple Store for Beauty Products,16086.5
T0000121,2022-01-24 02:37:00,Netflix,Clothing,568.78,Debit at Netflix for Clothing,16500.95
T0000125,2022-01-25 04:43:00,Netflix,Coffee,589.5,Debit at Netflix for Coffee,17504.69
T0000126,2022-01-25 06:59:00,Starbucks,Social Media Purchases,891.68,Debit at Starbucks for Social Media Purchases,16613.01
T0000127,2022-01-26 00:38:00,TikTok Shop,Tech Gadgets,446.27,Debit at TikTok Shop for Tech Gadgets,16166.74
T0000128,2022-01-26 00:53:00,TikTok Shop,Beauty Products,250.86,Debit at TikTok Shop for Beauty Products,15915.88
T0000134,2022-01-27 03:23:00,Starbucks,Food Delivery,970.15,Debit at Starbucks for Food Delivery,18073.59
T0000138,2022-01-27 18:04:00,H&M,Beauty Products,268.8,Debit at H&M for Beauty Products,19281.07
T0000139,2022-01-28 02:56:00,Starbucks,Beauty Products,207.52,Debit at Starbucks for Beauty Products,19073.55
T0000143,2022-01-29 07:51:00,PlayStation Store,Social Media Purchases,410.86,Debit at PlayStation Store for Social Media Purchases,20674.15
T0000144,2022-01-29 09:42:00,Apple Store,Beauty Products,367.75,Debit at Apple Store for Beauty Products,20306.4
T0000145,2022-01-29 10:23:00,Shein,Food Delivery,329.95,Debit at Shein for Food Delivery,19976.45
T0000149,2022-01-30 20:45:00,TikTok Shop,Social Media Purchases,74.72,Debit at TikTok Shop for Social Media Purchases,20915.41
T0000151,2022-01-31 13:42:00,Spotify,Streaming Subscription,12.87,Debit at Spotify for Streaming Subscription,21876.85
T0000153,2022-01-31 16:30:00,Shein,Clothing,134.12,Debit at Shein for Clothing,22088.32
T0000154,2022-01-31 17:41:00,Shein,Gaming,52.24,Debit at Shein for Gaming,22036.08
T0000156,2022-01-31 19:54:00,Sephora,Beauty Products,585.66,Debit at Sephora for Beauty Products,21715.85
T0000157,2022-02-01 01:30:00,PlayStation Store,Gaming,872.55,Debit at PlayStation Store for Gaming,20843.3
T0000158,2022-02-01 09:08:00,Starbucks,Tech Gadgets,746.87,Debit at Starbucks for Tech Gadgets,20096.43
T0000159,2022-02-01 14:17:00,UberEats,Social Media Purchases,922.57,Debit at UberEats for Social Media Purchases,19173.86
T0000162,2022-02-01 22:31:00,PlayStation Store,Coffee,450.44,Debit at PlayStation Store for Coffee,20332.92
T0000164,2022-02-02 05:52:00,Spotify,Clothing,862.29,Debit at Spotify for Clothing,19794.32
T0000166,2022-02-02 18:05:00,Spotify,Clothing,276.99,Debit at Spotify for Clothing,19831.36
T0000168,2022-02-03 18:05:00,PlayStation Store,Beauty Products,93.84,Debit at PlayStation Store for Beauty Products,19851.11
T0000172,2022-02-04 14:12:00,Starbucks,Social Media Purchases,102.94,Debit at Starbucks for Social Media Purchases,21890.73
T0000175,2022-02-05 19:34:00,Amazon,Tech Gadgets,7.17,Debit at Amazon for Tech Gadgets,22519.97
T0000176,2022-02-06 06:08:00,Amazon,Food Delivery,265.37,Debit at Amazon for Food Delivery,22254.6
T0000179,2022-02-07 09:36:00,Amazon,Social Media Purchases,663.94,Debit at Amazon for Social Media Purchases,22405.57
T0000182,2022-02-07 18:55:00,Netflix,Tech Gadgets,115.4,Debit at Netflix for Tech Gadgets,23558.06
T0000186,2022-02-08 19:20:00,Shein,Clothing,819.96,Debit at Shein for Clothing,23824.36
T0000189,2022-02-09 13:02:00,TikTok Shop,Social Media Purchases,774.38,Debit at TikTok Shop for Social Media Purchases,23345.6
T0000191,2022-02-09 16:44:00,Amazon,Food Delivery,193.25,Debit at Amazon for Food Delivery,23550.49
T0000192,2022-02-09 20:33:00,UberEats,Food Delivery,11.64,Debit at UberEats for Food Delivery,23538.85
T0000194,2022-02-10 18:50:00,H&M,Streaming Subscription,682.42,Debit at H&M for Streaming Subscription,23741.5
T0000195,2022-02-10 21:37:00,TikTok Shop,Beauty Products,489.46,Debit at TikTok Shop for Beauty Products,23252.04
T0000197,2022-02-11 04:07:00,Amazon,Tech Gadgets,195.69,Debit at Amazon for Tech Gadgets,23643.09
T0000198,2022-02-11 10:55:00,UberEats,Gaming,578.75,Debit at UberEats for Gaming,23064.34
T0000200,2022-02-11 18:57:00,Shein,Clothing,186.85,Debit at Shein for Clothing,23066.06
T0000201,2022-02-11 21:06:00,TikTok Shop,Streaming Subscription,891.11,Debit at TikTok Shop for Streaming Subscription,22174.95
T0000202,2022-02-11 23:44:00,PlayStation Store,Tech Gadgets,285.49,Debit at PlayStation Store for Tech Gadgets,21889.46
T0000205,2022-02-12 02:18:00,Sephora,Gaming,319.85,Debit at Sephora for Gaming,23393.95
T0000206,2022-02-12 04:27:00,Starbucks,Beauty Products,919.28,Debit at Starbucks for Beauty Products,22474.67
T0000207,2022-02-12 08:49:00,Netflix,Tech Gadgets,334.72,Debit at Netflix for Tech Gadgets,22139.95
T0000210,2022-02-13 00:08:00,Netflix,Streaming Subscription,841.43,Debit at Netflix for Streaming Subscription,21520.16
T0000211,2022-02-13 03:48:00,TikTok Shop,Social Media Purchases,786.0,Debit at TikTok Shop for Social Media Purchases,20734.16
T0000213,2022-02-13 23:42:00,Amazon,Clothing,223.21,Debit at Amazon for Clothing,20661.03
T0000214,2022-02-14 07:40:00,Netflix,Streaming Subscription,591.44,Debit at Netflix for Streaming Subscription,20069.59
T0000215,2022-02-14 15:09:00,Amazon,Streaming Subscription,800.33,Debit at Amazon for Streaming Subscription,19269.26
T0000216,2022-02-14 17:11:00,UberEats,Gaming,739.98,Debit at UberEats for Gaming,18529.28
T0000221,2022-02-15 18:50:00,Amazon,Social Media Purchases,459.64,Debit at Amazon for Social Media Purchases,20190.17
T0000222,2022-02-15 18:55:00,Netflix,Gaming,339.06,Debit at Netflix for Gaming,19851.11
T0000223,2022-02-15 22:16:00,TikTok Shop,Tech Gadgets,779.97,Debit at TikTok Shop for Tech Gadgets,19071.14
T0000225,2022-02-16 16:25:00,Starbucks,Streaming Subscription,919.59,Debit at Starbucks for Streaming Subscription,18514.67
T0000226,2022-02-17 03:46:00,UberEats,Gaming,236.98,Debit at UberEats for Gaming,18277.69
T0000229,2022-02-18 01:42:00,H&M,Beauty Products,514.82,Debit at H&M for Beauty Products,18213.02
T0000231,2022-02-19 03:45:00,TikTok Shop,Social Media Purchases,882.64,Debit at TikTok Shop for Social Media Purchases,17789.39
T0000234,2022-02-19 11:53:00,PlayStation Store,Gaming,206.74,Debit at PlayStation Store for Gaming,19376.58
T0000237,2022-02-20 01:25:00,Netflix,Coffee,200.4,Debit at Netflix for Coffee,20528.12
T0000239,2022-02-20 07:58:00,H&M,Tech Gadgets,88.5,Debit at H&M for Tech Gadgets,21109.88
T0000247,2022-02-21 06:21:00,UberEats,Clothing,733.45,Debit at UberEats for Clothing,24243.44
T0000248,2022-02-21 09:51:00,Amazon,Streaming Subscription,394.42,Debit at Amazon for Streaming Subscription,23849.02
T0000250,2022-02-21 19:22:00,Shein,Beauty Products,857.32,Debit at Shein for Beauty Products,23783.72
T0000252,2022-02-22 14:22:00,Netflix,Coffee,761.89,Debit at Netflix for Coffee,23122.02
T0000253,2022-02-22 14:39:00,UberEats,Beauty Products,324.25,Debit at UberEats for Beauty Products,22797.77
T0000255,2022-02-22 16:30:00,Shein,Social Media Purchases,590.04,Debit at Shein for Social Media Purchases,22530.09
T0000256,2022-02-22 16:33:00,TikTok Shop,Tech Gadgets,583.09,Debit at TikTok Shop for Tech Gadgets,21947.0
T0000259,2022-02-23 02:15:00,PlayStation Store,Social Media Purchases,397.01,Debit at PlayStation Store for Social Media Purchases,22273.86
T0000261,2022-02-23 03:16:00,PlayStation Store,Beauty Products,12.17,Debit at PlayStation Store for Beauty Products,23036.58
T0000262,2022-02-23 05:11:00,PlayStation Store,Gaming,755.78,Debit at PlayStation Store for Gaming,22280.8
T0000264,2022-02-23 07:19:00,Spotify,Beauty Products,728.71,Debit at Spotify for Beauty Products,22500.34
T0000265,2022-02-23 20:12:00,Netflix,Tech Gadgets,521.82,Debit at Netflix for Tech Gadgets,21978.52
T0000274,2022-02-26 14:51:00,Spotify,Beauty Products,638.91,Debit at Spotify for Beauty Products,25904.7
T0000275,2022-02-27 01:40:00,Sephora,Clothing,62.54,Debit at Sephora for Clothing,25842.16
T0000279,2022-02-28 14:45:00,Amazon,Coffee,198.91,Debit at Amazon for Coffee,26598.75
T0000282,2022-03-01 04:23:00,TikTok Shop,Tech Gadgets,574.91,Debit at TikTok Shop for Tech Gadgets,26788.74
T0000283,2022-03-01 05:12:00,H&M,Coffee,23.9,Debit at H&M for Coffee,26764.84
T0000284,2022-03-01 07:24:00,Spotify,Clothing,848.5,Debit at Spotify for Clothing,25916.34
T0000287,2022-03-01 19:04:00,H&M,Tech Gadgets,721.02,Debit at H&M for Tech Gadgets,25996.74
T0000293,2022-03-02 13:42:00,Netflix,Coffee,896.0,Debit at Netflix for Coffee,27497.22
T0000294,2022-03-02 18:00:00,Shein,Gaming,946.52,Debit at Shein for Gaming,26550.7
T0000298,2022-03-03 15:50:00,Sephora,Coffee,315.66,Debit at Sephora for Coffee,27699.38
T0000299,2022-03-03 22:32:00,Spotify,Streaming Subscription,474.82,Debit at Spotify for Streaming Subscription,27224.56
T0000303,2022-03-04 16:36:00,Starbucks,Streaming Subscription,356.69,Debit at Starbucks for Streaming Subscription,28295.36
T0000306,2022-03-05 09:22:00,UberEats,Beauty Products,855.23,Debit at UberEats for Beauty Products,28285.59
T0000307,2022-03-05 09:38:00,Spotify,Beauty Products,916.14,Debit at Spotify for Beauty Products,27369.45
T0000309,2022-03-05 20:44:00,Apple Store,Food Delivery,870.85,Debit at Apple Store for Food Delivery,26812.09
T0000315,2022-03-07 21:13:00,Shein,Coffee,369.58,Debit at Shein for Coffee,29867.48
T0000317,2022-03-08 04:12:00,UberEats,Clothing,288.64,Debit at UberEats for Clothing,29968.45
T0000320,2022-03-08 09:28:00,Starbucks,Tech Gadgets,635.9,Debit at Starbucks for Tech Gadgets,30715.43
T0000321,2022-03-08 12:14:00,H&M,Gaming,749.15,Debit at H&M for Gaming,29966.28
T0000323,2022-03-09 02:24:00,Starbucks,Tech Gadgets,784.23,Debit at Starbucks for Tech Gadgets,29622.03
T0000326,2022-03-09 19:42:00,H&M,Gaming,370.16,Debit at H&M for Gaming,30042.64
T0000328,2022-03-10 04:56:00,Sephora,Gaming,359.24,Debit at Sephora for Gaming,30637.02
T0000329,2022-03-10 05:26:00,Starbucks,Beauty Products,718.71,Debit at Starbucks for Beauty Products,29918.31
T0000332,2022-03-10 17:51:00,TikTok Shop,Beauty Products,485.44,Debit at TikTok Shop for Beauty Products,30422.88
T0000334,2022-03-11 01:06:00,Netflix,Coffee,833.1,Debit at Netflix for Coffee,29955.79
T0000335,2022-03-11 01:48:00,Apple Store,Streaming Subscription,46.09,Debit at Apple Store for Streaming Subscription,29909.7
T0000339,2022-03-12 01:48:00,H&M,Beauty Products,49.48,Debit at H&M for Beauty Products,30402.6
T0000340,2022-03-12 04:08:00,PlayStation Store,Food Delivery,418.22,Debit at PlayStation Store for Food Delivery,29984.38
T0000342,2022-03-13 05:43:00,Netflix,Tech Gadgets,218.7,Debit at Netflix for Tech Gadgets,30345.35
T0000346,2022-03-14 20:13:00,H&M,Gaming,319.52,Debit at H&M for Gaming,31147.52
T0000347,2022-03-15 09:38:00,Spotify,Clothing,502.2,Debit at Spotify for Clothing,30645.32
T0000351,2022-03-16 16:01:00,Sephora,Streaming Subscription,590.04,Debit at Sephora for Streaming Subscription,31268.01
T0000355,2022-03-17 10:30:00,Shein,Coffee,695.78,Debit at Shein for Coffee,31734.41
T0000356,2022-03-17 19:44:00,Amazon,Tech Gadgets,844.73,Debit at Amazon for Tech Gadgets,30889.68
T0000363,2022-03-19 12:35:00,Spotify,Coffee,344.56,Debit at Spotify for Coffee,33781.95
T0000364,2022-03-19 18:01:00,Spotify,Gaming,296.97,Debit at Spotify for Gaming,33484.98
T0000366,2022-03-20 22:49:00,Netflix,Beauty Products,670.96,Debit at Netflix for Beauty Products,33451.18
T0000368,2022-03-21 23:13:00,Netflix,Beauty Products,327.92,Debit at Netflix for Beauty Products,33909.78
T0000369,2022-03-22 10:17:00,Amazon,Beauty Products,150.57,Debit at Amazon for Beauty Products,33759.21
T0000371,2022-03-22 17:10:00,Shein,Tech Gadgets,454.35,Debit at Shein for Tech Gadgets,33421.66
T0000374,2022-03-23 21:45:00,TikTok Shop,Clothing,994.16,Debit at TikTok Shop for Clothing,34031.84
T0000380,2022-03-24 22:56:00,H&M,Food Delivery,597.54,Debit at H&M for Food Delivery,35581.27
T0000381,2022-03-25 00:32:00,Amazon,Gaming,380.94,Debit at Amazon for Gaming,35200.33
T0000383,2022-03-25 15:54:00,Starbucks,Social Media Purchases,160.26,Debit at Starbucks for Social Media Purchases,35147.86
T0000384,2022-03-25 20:04:00,Netflix,Tech Gadgets,986.77,Debit at Netflix for Tech Gadgets,34161.09
T0000385,2022-03-26 03:25:00,Shein,Tech Gadgets,781.17,Debit at Shein for Tech Gadgets,33379.92
T0000386,2022-03-26 15:38:00,Apple Store,Streaming Subscription,157.86,Debit at Apple Store for Streaming Subscription,33222.06
T0000387,2022-03-26 18:10:00,Amazon,Clothing,154.25,Debit at Amazon for Clothing,33067.81
T0000388,2022-03-27 16:13:00,TikTok Shop,Beauty Products,96.1,Debit at TikTok Shop for Beauty Products,32971.71
T0000389,2022-03-28 04:31:00,Netflix,Coffee,332.17,Debit at Netflix for Coffee,32639.54
T0000391,2022-03-28 14:47:00,Shein,Beauty Products,639.01,Debit at Shein for Beauty Products,32564.23
T0000394,2022-03-29 05:00:00,Spotify,Clothing,843.76,Debit at Spotify for Clothing,33608.81
T0000396,2022-03-29 18:58:00,Spotify,Tech Gadgets,516.61,Debit at Spotify for Tech Gadgets,33271.95
T0000398,2022-03-30 00:44:00,Amazon,Clothing,249.58,Debit at Amazon for Clothing,33093.68
T0000399,2022-03-30 01:07:00,PlayStation Store,Food Delivery,802.59,Debit at PlayStation Store for Food Delivery,32291.09
T0000400,2022-03-30 06:07:00,Apple Store,Social Media Purchases,171.6,Debit at Apple Store for Social Media Purchases,32119.49
T0000401,2022-03-30 11:23:00,Apple Store,Streaming Subscription,96.32,Debit at Apple Store for Streaming Subscription,32023.17
T0000403,2022-03-30 18:11:00,PlayStation Store,Gaming,145.8,Debit at PlayStation Store for Gaming,32846.76
T0000405,2022-03-30 20:52:00,PlayStation Store,Streaming Subscription,471.42,Debit at PlayStation Store for Streaming Subscription,32634.69
T0000406,2022-03-30 21:06:00,Amazon,Food Delivery,280.27,Debit at Amazon for Food Delivery,32354.42
T0000407,2022-03-31 01:24:00,Apple Store,Streaming Subscription,197.66,Debit at Apple Store for Streaming Subscription,32156.76
T0000408,2022-03-31 02:14:00,PlayStation Store,Beauty Products,626.4,Debit at PlayStation Store for Beauty Products,31530.36
T0000409,2022-03-31 04:15:00,Starbucks,Coffee,305.47,Debit at Starbucks for Coffee,31224.89
T0000413,2022-04-01 23:53:00,Apple Store,Social Media Purchases,228.13,Debit at Apple Store for Social Media Purchases,33183.86
T0000414,2022-04-02 01:26:00,UberEats,Tech Gadgets,737.65,Debit at UberEats for Tech Gadgets,32446.21
T0000415,2022-04-02 10:28:00,H&M,Tech Gadgets,789.06,Debit at H&M for Tech Gadgets,31657.15
T0000417,2022-04-03 01:16:00,Netflix,Food Delivery,149.25,Debit at Netflix for Food Delivery,32161.43
T0000418,2022-04-03 14:37:00,Apple Store,Social Media Purchases,81.5,Debit at Apple Store for Social Media Purchases,32079.93
T0000419,2022-04-03 15:58:00,Netflix,Gaming,733.82,Debit at Netflix for Gaming,31346.11
T0000421,2022-04-03 23:48:00,Sephora,Social Media Purchases,186.83,Debit at Sephora for Social Media Purchases,31285.75
T0000422,2022-04-04 08:00:00,Amazon,Clothing,670.4,Debit at Amazon for Clothing,30615.35
T0000426,2022-04-04 23:01:00,Apple Store,Beauty Products,369.77,Debit at Apple Store for Beauty Products,32617.2
T0000427,2022-04-04 23:21:00,Shein,Gaming,390.86,Debit at Shein for Gaming,32226.34
T0000428,2022-04-05 02:04:00,Spotify,Food Delivery,934.16,Debit at Spotify for Food Delivery,31292.18
T0000433,2022-04-06 09:35:00,Apple Store,Streaming Subscription,555.15,Debit at Apple Store for Streaming Subscription,33091.03
T0000435,2022-04-07 11:57:00,H&M,Social Media Purchases,454.53,Debit at H&M for Social Media Purchases,33400.69
T0000438,2022-04-07 23:28:00,Starbucks,Gaming,691.47,Debit at Starbucks for Gaming,33435.21
T0000445,2022-04-09 13:58:00,TikTok Shop,Clothing,423.42,Debit at TikTok Shop for Clothing,35767.06
T0000449,2022-04-10 13:12:00,Amazon,Food Delivery,27.15,Debit at Amazon for Food Delivery,36990.32
T0000450,2022-04-11 05:29:00,Amazon,Social Media Purchases,829.22,Debit at Amazon for Social Media Purchases,36161.1
T0000451,2022-04-11 06:01:00,Apple Store,Social Media Purchases,297.21,Debit at Apple Store for Social Media Purchases,35863.89
T0000455,2022-04-11 20:16:00,TikTok Shop,Coffee,713.32,Debit at TikTok Shop for Coffee,36201.77
T0000456,2022-04-11 22:03:00,Netflix,Beauty Products,744.24,Debit at Netflix for Beauty Products,35457.53
T0000458,2022-04-13 12:15:00,Netflix,Beauty Products,418.83,Debit at Netflix for Beauty Products,35506.98
T0000461,2022-04-14 01:13:00,Starbucks,Social Media Purchases,73.83,Debit at Starbucks for Social Media Purchases,36397.09
T0000463,2022-04-14 06:40:00,Starbucks,Social Media Purchases,241.21,Debit at Starbucks for Social Media Purchases,36210.43
T0000466,2022-04-14 21:26:00,Amazon,Tech Gadgets,617.75,Debit at Amazon for Tech Gadgets,36166.47
T0000468,2022-04-15 08:15:00,H&M,Streaming Subscription,449.23,Debit at H&M for Streaming Subscription,36215.48
T0000469,2022-04-15 08:23:00,Starbucks,Beauty Products,447.9,Debit at Starbucks for Beauty Products,35767.58
T0000471,2022-04-15 11:33:00,Starbucks,Beauty Products,57.41,Debit at Starbucks for Beauty Products,35813.03
T0000472,2022-04-15 11:56:00,Sephora,Clothing,606.66,Debit at Sephora for Clothing,35206.37
T0000473,2022-04-15 16:31:00,Netflix,Gaming,487.49,Debit at Netflix for Gaming,34718.88
T0000475,2022-04-15 19:14:00,Netflix,Social Media Purchases,122.62,Debit at Netflix for Social Media Purchases,34988.9
T0000476,2022-04-15 20:45:00,PlayStation Store,Streaming Subscription,424.23,Debit at PlayStation Store for Streaming Subscription,34564.67
T0000479,2022-04-16 08:57:00,Spotify,Social Media Purchases,688.71,Debit at Spotify for Social Media Purchases,34399.2
T0000481,2022-04-17 03:26:00,Shein,Streaming Subscription,162.94,Debit at Shein for Streaming Subscription,34839.78
T0000487,2022-04-18 16:04:00,Apple Store,Beauty Products,440.61,Debit at Apple Store for Beauty Products,37289.37
T0000488,2022-04-18 16:23:00,Sephora,Food Delivery,501.27,Debit at Sephora for Food Delivery,36788.1
T0000495,2022-04-19 22:28:00,Spotify,Beauty Products,264.33,Debit at Spotify for Beauty Products,40904.28
T0000497,2022-04-20 03:47:00,PlayStation Store,Beauty Products,940.13,Debit at PlayStation Store for Beauty Products,40415.24
T0000501,2022-04-20 23:42:00,Shein,Food Delivery,568.14,Debit at Shein for Food Delivery,41647.99
T0000505,2022-04-22 11:52:00,Apple Store,Social Media Purchases,548.58,Debit at Apple Store for Social Media Purchases,42425.04
T0000507,2022-04-23 03:56:00,Sephora,Beauty Products,854.56,Debit at Sephora for Beauty Products,42536.67
T0000510,2022-04-23 17:22:00,PlayStation Store,Coffee,989.65,Debit at PlayStation Store for Coffee,42753.38
T0000511,2022-04-23 17:40:00,Apple Store,Social Media Purchases,748.15,Debit at Apple Store for Social Media Purchases,42005.23
T0000513,2022-04-24 15:16:00,H&M,Social Media Purchases,642.73,Debit at H&M for Social Media Purchases,42325.12
T0000518,2022-04-26 13:22:00,Starbucks,Clothing,878.0,Debit at Starbucks for Clothing,43635.44
T0000523,2022-04-28 05:21:00,TikTok Shop,Social Media Purchases,655.15,Debit at TikTok Shop for Social Media Purchases,45039.97
T0000527,2022-04-28 17:57:00,PlayStation Store,Tech Gadgets,314.01,Debit at PlayStation Store for Tech Gadgets,45728.84
T0000529,2022-04-29 03:52:00,Netflix,Social Media Purchases,695.66,Debit at Netflix for Social Media Purchases,45835.73
T0000530,2022-04-29 06:03:00,UberEats,Gaming,401.83,Debit at UberEats for Gaming,45433.9
T0000531,2022-04-29 08:19:00,PlayStation Store,Streaming Subscription,720.51,Debit at PlayStation Store for Streaming Subscription,44713.39
T0000534,2022-04-29 21:48:00,Apple Store,Streaming Subscription,496.8,Debit at Apple Store for Streaming Subscription,45473.49
T0000536,2022-04-30 02:25:00,Netflix,Streaming Subscription,962.77,Debit at Netflix for Streaming Subscription,44830.73
T0000537,2022-04-30 05:59:00,Netflix,Social Media Purchases,260.06,Debit at Netflix for Social Media Purchases,44570.67
T0000539,2022-04-30 11:48:00,Starbucks,Clothing,565.35,Debit at Starbucks for Clothing,44128.31
T0000540,2022-04-30 17:00:00,Amazon,Coffee,903.11,Debit at Amazon for Coffee,43225.2
T0000541,2022-04-30 18:08:00,PlayStation Store,Streaming Subscription,690.0,Debit at PlayStation Store for Streaming Subscription,42535.2
T0000543,2022-05-01 00:49:00,H&M,Beauty Products,848.51,Debit at H&M for Beauty Products,42039.82
T0000544,2022-05-01 02:16:00,Netflix,Coffee,10.31,Debit at Netflix for Coffee,42029.51
T0000546,2022-05-01 21:06:00,UberEats,Tech Gadgets,361.6,Debit at UberEats for Tech Gadgets,41749.13
T0000548,2022-05-02 02:10:00,TikTok Shop,Gaming,234.4,Debit at TikTok Shop for Gaming,41719.38
T0000549,2022-05-02 10:50:00,UberEats,Tech Gadgets,757.54,Debit at UberEats for Tech Gadgets,40961.84
T0000550,2022-05-02 12:27:00,Amazon,Clothing,263.83,Debit at Amazon for Clothing,40698.01
